quantity,,,RMSE of $f_0$,RMSE of $f_0$,RMSE of $f_0$,RMSE of $f_0$,RMSE of $f_0$,RMSE of $f_0$,RMSE of $f_0$,RMSE of $f_0$,Regret,Regret,Regret,Regret,Regret,Regret,Regret,Regret
t,,,0,1,2,3,4,5,6,Mean,0,1,2,3,4,5,6,Mean
trait,trunk,series,,,,,,,,,,,,,,,,
Evil,B: I drivers,"$\Delta P_t^{0\leftarrow 0,[0]}$",10.926304658860516,18.540472135995547,19.596494328534973,15.581188364147051,16.671795485774645,17.27454255645267,10.57051360955077,15.594473019902312,6.517578063696615,4.76715652851272,6.99423583268371,5.3451802647154345,6.0147420146823745,5.559398895445476,6.058627763575837,5.893845623330309
Evil,B: I drivers,"$\Delta P_t^{t\leftarrow 0,[0]}$",10.926304658860516,19.116608949045368,19.726060923168216,15.499381366567984,15.924352857008719,16.24810649059125,9.176487793204853,15.231043291206701,6.517578063696615,4.842531491124138,6.679489347751392,5.02307009919263,4.85697334020076,4.289710391480694,4.525302784122297,5.247807931081218
Evil,B: I drivers,"$\Delta P_t^{t\leftarrow t,[0]}$",10.810570103003153,31.557932841511573,27.272294783075342,23.858598187503286,24.65557214700312,24.38365770671924,15.439355237289618,22.568283000872192,6.475686859743993,13.795950306891076,11.980289842929794,10.445983756099753,10.664688790745112,10.077310733087653,7.543028670491019,10.140419851426913
Evil,B: I drivers,"$\Delta P_t^{0\leftarrow 0,[t]}$",10.926304658860513,17.29017330200264,14.420561641735544,16.087991722931072,16.164212144676995,16.682386946608414,13.817103188959845,15.055533372253576,6.517578063696612,2.6606882683395856,6.438364596592931,5.623540004382061,4.231716221614384,4.30043029890089,6.275694835123387,5.149716041235693
Evil,B: I drivers,"$\Delta P_t^{t\leftarrow 0,[t]}$",10.926304658860513,17.070215285863164,13.733602566353422,15.819781114009757,15.922125067915767,16.41485939681614,12.84649650073415,14.676197798650417,6.517578063696612,2.193975401144934,6.286423534078777,4.861632317626654,3.751140525888383,3.846377396556832,5.799552975233764,4.750954316317994
Evil,B: I drivers,"$\Delta P_t^{t\leftarrow t,[t]}$",10.810570103003153,18.80743967308358,15.157650641489747,20.261285193026147,17.87578234704229,18.27542947088826,14.54451699206264,16.53323920294226,6.475686859743993,1.7461130764408423,4.565945257484644,4.557402246954034,2.7745067793584806,3.0220610686118317,4.872934331086604,4.00209280281149
Evil,C: Normal only,$\Delta P_0$,10.926304658860516,11.264355674845289,10.707089745901957,10.653996004763178,10.479775750144503,10.459248524676278,10.177608263641387,10.666911231833302,6.517578063696615,6.59394593151684,6.522501327469629,5.36527519536487,6.497945672011592,6.675377832994538,5.922914776618058,6.2993626856674485
Evil,C: Normal only,"$\Delta P_t^{0\leftarrow 0,[0]}$",10.926304658860516,11.017023078775082,10.862364254152963,10.743084382434002,10.748075626421237,11.114493552069169,10.792744959431543,10.886298644592074,6.517578063696615,6.6880633325899055,6.337064146023634,5.28435565895912,6.265138124423085,7.412618416562344,6.475595797298513,6.425773362793316
Evil,C: Normal only,"$\Delta P_t^{t\leftarrow 0,[0]}$",10.926304658860516,10.757723279766587,10.553252232637401,10.47733495745572,10.300968977942537,10.074415083459241,9.638214730543803,10.389744845809401,6.517578063696615,6.190617627017156,5.542133185914703,4.556479283154988,5.356949163228308,6.070371688559024,4.826035073790191,5.580023440765855
Evil,C: Normal only,"$\Delta P_t^{t\leftarrow t,[0]}$",10.810570103003153,14.926362256224262,14.959586451860321,15.979215269444587,16.0942302255277,14.790164666950687,13.71529547732946,14.467917778620025,6.475686859743993,7.521719733977879,6.841878069767853,6.575081225080142,7.715959033448229,7.496235460225982,5.459791692122838,6.869478867766702
Evil,C: Normal only,"$\Delta P_t^{0\leftarrow 0,[t]}$",10.926304658860513,12.290640934412092,12.787545837455866,12.826052032252296,13.213708873397804,12.901378371247286,13.018146895337436,12.566253943280472,6.517578063696612,5.063479767021803,6.756060599639686,6.62851929558472,7.706718713325136,6.618337955397954,5.474879916644955,6.395082044472981
Evil,C: Normal only,"$\Delta P_t^{t\leftarrow 0,[t]}$",10.926304658860513,11.921674585566608,12.421662521436778,12.457398768398685,12.649605008932108,12.071567232609066,12.255632807199204,12.100549369000422,6.517578063696612,4.616599114390877,5.922266098826506,5.9919434963206015,6.870315630346189,6.038467857689585,4.640899483199445,5.799724249209974
Evil,C: Normal only,"$\Delta P_t^{t\leftarrow t,[t]}$",10.810570103003153,12.245717770042752,13.510191951780604,14.323910838057765,14.502996901076882,12.703917357201831,12.64710322593358,12.963486878156653,6.475686859743993,3.6932031938787624,3.9275265236093784,3.691958145118301,4.519602972298541,4.4175596909480355,2.933814270971695,4.2370502366526726
Sycophancy,A: II drivers,$\Delta P_0$,15.187778971166646,26.898708601328327,15.168713194579459,23.453434139638073,20.822857630100064,42.54864976447777,40.047959246223094,26.30401450678763,2.975614111793581,6.9806454213639775,3.0570215719926974,6.384159127878398,4.937395235551897,21.261554069839747,19.615379750627255,9.315967041292508
Sycophancy,A: II drivers,"$\Delta P_t^{0\leftarrow 0,[0]}$",15.187778971166646,24.987621993774088,12.144767176451044,21.541211987266344,19.81036832959025,42.23246742747681,41.10987944297918,25.28772790410062,2.975614111793581,5.398752363597161,1.984356730584846,5.827919817933635,5.301025910255861,20.612305321567977,20.42201831374276,8.931713224210831
Sycophancy,A: II drivers,"$\Delta P_t^{t\leftarrow 0,[0]}$",15.187778971166646,27.25352492540919,12.995782557564569,24.084441554277625,22.40487700360086,42.94058205631996,42.32812681894949,26.742159126755478,2.975614111793581,6.968566420409722,2.7847546176778426,6.896580377271885,6.843807925797215,21.175652947017564,21.408861377148572,9.864833968159484
Sycophancy,A: II drivers,"$\Delta P_t^{t\leftarrow t,[0]}$",14.919986310662258,28.760284772739936,13.844493785340957,27.979287043545458,27.769960243764878,46.30280381700042,45.99976764568678,29.36808337410581,2.7864984574735274,8.247111269730535,2.390243698158912,10.111344519946758,10.740187310272841,24.783169109267188,25.31732818884072,12.05369750767007
Sycophancy,A: II drivers,"$\Delta P_t^{0\leftarrow 0,[t]}$",15.187778971166633,20.797776941579716,12.957067186090297,13.421642359522869,15.169527802340042,16.884962047652433,28.285041005362583,17.52911375910208,2.9756141117935684,4.815724050287475,3.6880702161928145,2.566654974642388,0.7279782083755819,4.799845358234178,8.128024456786246,3.95741591090175
Sycophancy,A: II drivers,"$\Delta P_t^{t\leftarrow 0,[t]}$",15.187778971166633,19.2681062017107,12.962688036324625,10.633857143148667,16.422174869091293,14.489779296061545,28.79314821043973,16.822504675420454,2.9756141117935684,3.5246315024119586,4.085529325773747,0.07950219986705243,2.0677922848193244,1.0536351969668747,8.267930479096574,3.1506621572470146
